"RucProveedor","CodProducto","CodProducto2","CodProducto3","Producto","UnidaMedidaCompra","FactorVenta","FactorConversion","PesoUnitario","PesoCaja","CostoCaja"
"20514584789","04023224","","","017-PE DELANTAL ZUKO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04024097","","","017-POLO UNIFORME MC T XL CHINCHIN",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1072352,"","","017-BONIF (UND) GTA. PICARAS EXTREMAS NI 38GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",WI100101,"","","017-CNCH000001 GLORIA LECHE RECONSTITUIDA X 390GR LOTE 427212",UNIDAD,1.0000,1.0000,0.3900000000000000000,0.3900,
"20514584789","04013262","","","017-PE GORRO ZUKO",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04005008","","","017-PE - HOJA VENTA A5 PANETON WINTERS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01034576","","","017-PASB.GRANUTS PARTY MIX 18BX200G INT",CAJA,18.0000,18.0000,0.0000000000000000000,0.0000,
"20514584789","31020912","","","017-BONIF. CAFE MONTERREY 6GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04005116","","","017-PE - MARCAPRECIO PANETON WINTERS MOD 1",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",WI075503,"","","017- BONIFICACIÓN 1UND DE OLEOLE VAINILLA DE 4GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0040,
"20514584789","01041909","","","017-GLINA. MONTBLANC MAC LECH 4PLX10UX80G PE",CAJA,4.0000,4.0000,0.0000000000000000000,0.0000,
"20514584789","04025744","","","017-ROMPETRAFICO GRANOS ANDINOS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","99999000","","","017-POLO MC MONTERREY",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01043944","","","017-GRANUTS CHOCOLATE ALMENDRA 12DYPX120G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","01032859","","","017-GLINA.MONTBLANC BAR LECHE 44% 190G",CAJA,26.0000,26.0000,0.0000000000000000000,0.0000,
"20514584789","01036463","","","017-CAFE COLCAFE LIOFILIZADO 12X100G CAM AND",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789",B1031617,"","","017-BONIF. MODIFR. CHOCOLISTO UND 20G PE",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","9001","","","017-CBO. 2 SIXPACK PICARAS+1 DP CHINCHIN+2 UND BONIF.CHINCHIN",COMBO,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04026151","","","017-POLO FFVV L GRANOS ANDINOS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","91058339","","","017-BONI. (UND) GLINA. CHIN CHIN PUNCH 13GR",UNIDAD,1.0000,1.0000,0.0100000000000000000,0.0130,
"20514584789","9002","","","017-COMBO 2 SIXPACK PICARAS + 1 BOLSA OLE OLE + 1 UND BONIF CHINCHIN",COMBO,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04026149","","","017-POLO FFVV S GRANOS ANDINOS",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","04023214","","","017-HDV OLE OLE MANI",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",B1056630,"","","017-BONI. UND COCOA WINTERS NI 21G",UNIDAD,1.0000,1.0000,0.0200000000000000000,0.0210,
"20514584789","01043764","","","017-COB WINTERS LAU BITTER 21UNDX300G",CAJA,21.0000,21.0000,0.0000000000000000000,0.0000,
"20514584789","01036334","","","017-GLINA. CHIN CHIN GALLEMELLOW12DPX12UX18G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789",B1076592,"","","017-BONIF. GRANOS ANDINOS 1UND X 15GR",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01029960","","","017-BEBIDA ZUKO SDMT CAMU CAMU 2L 8X12X15G",CAJA,8.0000,8.0000,0.0000000000000000000,0.0000,
"20514584789","01010119","","","017-GLINA. MINI CHIN CHIN 9BSX1KG",CAJA,9.0000,9.0000,0.0000000000000000000,0.0000,
"20514584789","04022576","","","017-PE CASACA FRASE PANETON WINTERS T/XL",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01032153","","","017-CAFE COLCAFE GRANULADO 24X12X9G SOBRE",CAJA,24.0000,24.0000,0.0000000000000000000,0.0000,
"20514584789","31034164","","","017-BONIF ZUKO MARACUYA 2L 8DISPX12UNDX15G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789",W1060800,"","","017-BEB. ZUKO PERU 2L CHICHA MORADA 8-12X15G",CAJA,1.0000,1.0000,1.4400000000000000000,1.4400,
"20514584789","01043942","","","017-GRANUTS CHOCOLATE ARANDANO 12DYPX120G",CAJA,12.0000,12.0000,0.0000000000000000000,0.0000,
"20514584789","81044312","","","017-BONIF. GLINA. CHIN CHIN BOL CN 24DP X24UX16G",UNIDAD,1.0000,1.0000,0.0000000000000000000,0.0000,
"20514584789","01041366","","","017- CAFE SELLO ROJO MOLIDO GRANEL 20GRX350UND",CAJA,350.0000,350.0000,0.0200000000000000000,7.0000,
